listing_id,Property_Title,Price_Raw,Location_Info,Sector,Room_Number,Area_m2,Link,Scraped_At,Page
garsoniera-decomandata-la-cheie-mobilata-utilata-centrala-proprie-IDFW6X,"Garsoniera decomandata la cheie, mobilata - utilata, centrala proprie",54 900 €,"Strada Mihale Stelian N., Titan, Sectorul 3, Bucuresti",3,2,26.42,https://www.storia.ro/ro/oferta/garsoniera-decomandata-la-cheie-mobilata-utilata-centrala-proprie-IDFW6X,2025-12-27T16:42:05,16
m-aparatorii-patriei-2-camere-open-space-drumul-jilavei-IDFW6U,M Aparatorii Patriei - 2 camere open space - Drumul Jilavei,73 140 €,"Drumul Jilavei, Aparatorii Patriei, Sectorul 4, Bucuresti",4,2,47.6,https://www.storia.ro/ro/oferta/m-aparatorii-patriei-2-camere-open-space-drumul-jilavei-IDFW6U,2025-12-27T16:42:05,16
oportunitate-eroilor-drumul-sarii-IDFJL4,Oportunitate Eroilor Drumul Sarii,119 000 €,"Drumul Sarii, Drumul Taberei, Sectorul 6, Bucuresti",6,2,67.0,https://www.storia.ro/ro/oferta/oportunitate-eroilor-drumul-sarii-IDFJL4,2025-12-27T16:42:05,16
parc-moghioros-mall-dr-taberelor-mcdonalds-IDFLBQ,Parc Moghioros Mall Dr.Taberelor McDonald:s,57 900 €,"Tudor Vladimirescu, Sectorul 6, Bucuresti",6,3,33.0,https://www.storia.ro/ro/oferta/parc-moghioros-mall-dr-taberelor-mcdonalds-IDFLBQ,2025-12-27T16:42:09,16
penthouse-de-vanzare-i-straulesti-IDFW6B,Penthouse de Vanzare I Straulesti,260 000 €,"Bulevardul Petrila, Straulesti, Sectorul 1, Bucuresti",1,3,135.0,https://www.storia.ro/ro/oferta/penthouse-de-vanzare-i-straulesti-IDFW6B,2025-12-27T16:42:09,16
apartament-3-camere-i-dorobanti-i-premium-i-vanzare-IDFW6y,Apartament 3 camere I Dorobanti I Premium I Vanzare,600 000 €,"Strada Banul Antonache, Floreasca, Sectorul 1, Bucuresti",1,3,105.46,https://www.storia.ro/ro/oferta/apartament-3-camere-i-dorobanti-i-premium-i-vanzare-IDFW6y,2025-12-27T16:42:09,16
apartament-2-camere-i-vitan-i-vanzare-IDFW6s,Apartament 2 camere I Vitan I Vanzare,224 000 €,"Calea Vitan, Vitan, Sectorul 3, Bucuresti",3,2,71.0,https://www.storia.ro/ro/oferta/apartament-2-camere-i-vitan-i-vanzare-IDFW6s,2025-12-27T16:42:09,16
apartament-3-camere-mosilor-str-ion-maiorescu-finisaje-lux-IDFW6o,"Apartament 3 camere Mosilor – Str. Ion Maiorescu, finisaje lux",290 000 €,"Mosilor, Sectorul 2, Bucuresti",2,3,79.0,https://www.storia.ro/ro/oferta/apartament-3-camere-mosilor-str-ion-maiorescu-finisaje-lux-IDFW6o,2025-12-27T16:42:09,16
studio-cloud9-aviatiei-pipera-IDFW5W,"Studio Cloud9, Aviatiei, Pipera",169 000 €,"Strada Avionului, Pipera, Sectorul 2, Bucuresti",2,2,42.0,https://www.storia.ro/ro/oferta/studio-cloud9-aviatiei-pipera-IDFW5W,2025-12-27T16:42:09,16
apartament-3-camere-de-vanzare-langa-padure-greenfield-baneasa-IDFW5N,"Apartament 3 camere de vanzare langa padure, Greenfield, Baneasa",175 000 €,"Drumul Padurea Pustnicu, Baneasa, Sectorul 1, Bucuresti",1,3,71.0,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-langa-padure-greenfield-baneasa-IDFW5N,2025-12-27T16:42:09,16
apartament-3-camere-mosilor-str-ion-maiorescu-finisaje-lux-IDFW5K,"Apartament 3 camere Mosilor – Str. Ion Maiorescu, finisaje lux",290 000 €,"Mosilor, Sectorul 2, Bucuresti",2,3,95.0,https://www.storia.ro/ro/oferta/apartament-3-camere-mosilor-str-ion-maiorescu-finisaje-lux-IDFW5K,2025-12-27T16:42:09,16
apartament-cu-3-camere-150-80-mp-herastrau-IDFW5J,"Apartament cu 3 camere 150,80 mp - Herastrau",370 000 €,"Strada Virgil Madgearu, Herastrau, Sectorul 1, Bucuresti",1,3,141.81,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-150-80-mp-herastrau-IDFW5J,2025-12-27T16:42:09,16
sector-4-sos-oltenitei-3-camere-disponibil-imediat-IDFW5n,Sector 4 ! Sos Oltenitei - 3 Camere - disponibil imediat,139 800 €,Sector 4 ! Sos Oltenitei - 3 Camere - disponibil imediat,4,3,67.0,https://www.storia.ro/ro/oferta/sector-4-sos-oltenitei-3-camere-disponibil-imediat-IDFW5n,2025-12-27T16:42:09,16
apartament-3-camere-de-lux-bulevardul-decebal-vedere-stradal-IDFSvk,Apartament 3 camere de lux – Bulevardul Decebal | Vedere stradală,345 000 €,"Decebal, Sectorul 3, Bucuresti",3,3,97.0,https://www.storia.ro/ro/oferta/apartament-3-camere-de-lux-bulevardul-decebal-vedere-stradal-IDFSvk,2025-12-27T16:42:09,16
oferta-noua-vitan-barzesti-3-camere-rin-grand-hotel-IDFW5k,Oferta noua! Vitan - Barzesti - 3 Camere - Rin Grand Hotel -,119 900 €,"Soseaua Vitan Barzesti, Splai, Sectorul 4, Bucuresti",4,3,84.18,https://www.storia.ro/ro/oferta/oferta-noua-vitan-barzesti-3-camere-rin-grand-hotel-IDFW5k,2025-12-27T16:42:09,16
avans-5025-euro-3-camere-postalionului-d-cucului-IDFW5i,Avans 5025 euro - 3 camere - Postalionului / D. Cucului,95 475 €,"Strada Postalionului, IMGB, Sectorul 4, Bucuresti",4,3,70.4,https://www.storia.ro/ro/oferta/avans-5025-euro-3-camere-postalionului-d-cucului-IDFW5i,2025-12-27T16:42:10,16
